Timestamp,Latitude,Longitude,Elevation,GPS_Speed,GPS_Direction,GPS_RMC_Valid,Battery_Voltage,Bus_Box_Temperature,Bus_Top_Temperature,Bus_Top_Relative_Humidity,ES642_PM2.5_Concentration,ES642_Air_Flow_Rate,ES642_Internal_Air_Temperature,ES642_Internal_Relative_Humidity,ES642_Internal_Air_Pressure,ES642_Error_Code,2B_Ozone_Concentration,2B_Air_Flow_Rate,2B_Internal_Air_Temperature,2B_Internal_Air_Pressure,2B405_NO_Concentration,2B405_NO2_Concentration,2B405_NOX_Concentration,2B405_Internal_Air_Temperature,2B405_Internal_Air_Pressure,2B405_Air_Flow_Rate,2B405_Cell_O3_Flow_Rate,PM2.5_Data_Flagged,Ozone_Data_Flagged,GPS_Data_Flagged
UTC,ddeg,ddeg,m,m/s,deg,binary,volts,degC,degC,%,ug/m3,L/min,degC,%,hpa,code,ppbv,L/min,degC,hpa,ppbv,ppbv,ppbv,degC,hpa,L/min,mL/min,binary,binary,binary
2021-09-28T16:28:50,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,12.69,20.93,21.94,30.29,9.00,2.00,19.72,33.00,851.90,0.00,29.90,2.19,28.60,819.10,0.80,-2.00,-1.20,20.00,805.90,1.56,57.80,0,0,0
2021-09-28T16:28:55,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,12.38,20.93,22.01,30.36,8.00,2.00,19.72,33.00,852.20,0.00,26.40,2.18,28.60,819.10,0.90,0.90,1.80,20.00,805.30,1.56,57.00,0,0,0
2021-09-28T16:29:00,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,12.68,20.93,22.04,30.36,8.00,2.00,19.72,33.00,851.90,0.00,29.30,2.18,28.60,819.60,1.90,1.50,3.40,20.00,805.90,1.56,56.70,0,0,0
2021-09-28T16:29:05,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,12.70,20.93,22.01,30.36,8.00,2.00,19.72,33.00,851.90,0.00,27.70,2.17,28.60,819.50,8.20,1.50,9.70,20.00,805.80,1.56,57.80,0,0,0
2021-09-28T16:29:10,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,12.40,20.93,22.01,30.29,8.00,2.00,19.72,33.00,852.20,0.00,29.30,2.19,28.70,819.10,8.20,-2.50,5.70,20.00,805.40,1.55,56.90,0,0,0
2021-09-28T16:29:15,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,12.37,20.93,21.94,30.33,8.00,2.00,19.72,33.00,852.20,0.00,29.40,2.18,28.70,819.10,7.90,-3.80,4.10,20.00,805.90,1.56,56.80,0,0,0
2021-09-28T16:29:20,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,12.68,20.93,22.01,30.39,8.00,2.00,19.72,33.00,852.10,0.00,26.40,2.17,28.70,819.50,1.70,-3.80,-2.10,20.10,805.80,1.55,57.80,0,0,0
2021-09-28T16:29:25,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,12.71,20.96,22.07,30.36,8.00,2.00,19.72,33.00,852.20,0.00,27.00,2.18,28.70,819.60,1.80,1.40,3.20,20.10,805.40,1.55,56.90,0,0,0
2021-09-28T16:29:30,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,12.65,20.96,21.94,30.36,8.00,2.00,19.72,33.00,852.00,0.00,26.90,2.17,28.70,819.10,3.30,2.80,6.10,20.10,805.90,1.56,56.70,0,0,0
2021-09-28T16:29:35,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,12.70,20.96,22.01,30.33,7.00,2.00,19.72,33.00,852.20,0.00,30.20,2.18,28.80,819.10,6.00,2.80,8.80,20.10,805.90,1.55,57.70,0,0,0
2021-09-28T16:29:40,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,12.71,20.96,22.01,30.29,8.00,2.00,19.72,33.00,852.00,0.00,26.10,2.19,28.80,819.60,5.90,-1.40,4.50,20.10,805.40,1.55,57.00,0,0,0
2021-09-28T16:29:45,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,12.70,20.96,22.01,30.33,8.00,2.00,19.72,33.00,851.90,0.00,24.40,2.18,28.80,819.60,2.30,-3.10,-0.80,20.10,805.90,1.56,56.70,0,0,0
2021-09-28T16:29:50,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,12.71,20.96,22.07,30.33,7.00,2.00,19.72,33.00,852.10,0.00,25.90,2.17,28.80,819.00,-1.30,-3.10,-4.40,20.10,805.70,1.55,57.80,0,0,0
2021-09-28T16:29:55,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,12.71,20.96,22.07,30.36,7.00,2.00,19.72,33.00,852.20,0.00,24.60,2.17,28.80,819.10,-1.20,-0.80,-2.00,20.10,805.30,1.55,57.10,0,0,0
2021-09-28T16:30:00,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,12.38,20.96,22.01,30.29,8.00,2.00,19.72,33.00,852.00,0.00,27.80,2.17,28.90,819.60,-0.30,0.40,0.10,20.10,805.80,1.56,56.90,0,0,0
2021-09-28T16:30:05,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,12.69,20.96,22.01,30.29,8.00,2.00,19.72,33.00,852.00,0.00,27.50,2.18,28.90,819.50,-1.90,0.40,-1.50,20.10,805.90,1.55,57.90,0,0,0
