Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,Battery_Voltage_volts,Train_Box_Temperature_degC,Train_Top_Relative_Humidity_%,Train_Top_Temperature_degC,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID
2018-11-19 20:13:02,40.722687,-111.919289,1218.9,13.68,21.37,-9999.0,-9999.0,5.0,2.0,20.0,20.0,879.6,0.0,6.2,2.11,23.9,831.7,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=20, tm_min=13, tm_sec=2, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,13,20,TRX01
2018-11-19 20:14:10,40.722786,-111.918907,1219.4,13.68,21.37,-9999.0,-9999.0,5.0,2.0,20.0,20.0,879.8,0.0,6.5,2.11,24.5,831.7,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=20, tm_min=14, tm_sec=10, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,14,20,TRX01
2018-11-19 20:15:10,40.722919,-111.918556,1220.1,13.68,21.4,-9999.0,-9999.0,6.0,2.0,20.0,20.0,879.8,0.0,3.4,2.11,24.9,831.7,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=20, tm_min=15, tm_sec=10, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,15,20,TRX01
2018-11-19 20:16:22,40.722958,-111.918671,1221.8,13.65,21.4,-9999.0,-9999.0,5.0,2.0,20.0,19.0,879.7,0.0,6.0,2.1,25.4,831.6,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=20, tm_min=16, tm_sec=22, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,16,20,TRX01
2018-11-19 20:17:22,40.723015,-111.918709,1222.3,13.65,21.42,-9999.0,-9999.0,6.0,2.0,20.0,19.0,879.9,0.0,22.3,2.1,25.8,831.7,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=20, tm_min=17, tm_sec=22, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,17,20,TRX01
2018-11-19 20:18:22,40.72287,-111.91851,1223.6,13.65,21.45,-9999.0,-9999.0,5.0,2.0,20.11,19.0,879.6,0.0,6.2,2.12,26.2,831.6,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=20, tm_min=18, tm_sec=22, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,18,20,TRX01
2018-11-19 20:19:34,40.722816,-111.918793,1226.2,13.65,21.45,-9999.0,-9999.0,5.0,2.0,20.11,19.0,879.6,0.0,4.7,2.11,26.6,831.7,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=20, tm_min=19, tm_sec=34, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,19,20,TRX01
2018-11-19 20:20:46,40.722778,-111.918854,1227.2,13.65,21.48,-9999.0,-9999.0,6.0,2.0,20.11,20.0,879.6,0.0,-2.6,2.11,27.0,831.6,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=20, tm_min=20, tm_sec=46, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,20,20,TRX01
2018-11-19 20:21:46,40.723064,-111.918678,1227.3,13.64,21.51,-9999.0,-9999.0,7.0,2.0,20.22,19.0,879.6,0.0,-3.1,2.1,27.2,831.6,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=20, tm_min=21, tm_sec=46, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,21,20,TRX01
2018-11-19 20:22:58,40.723011,-111.918747,1227.9,13.64,21.53,-9999.0,-9999.0,6.0,2.0,20.11,18.0,879.5,0.0,13.2,2.1,27.6,831.6,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=20, tm_min=22, tm_sec=58, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,22,20,TRX01
2018-11-19 20:23:58,40.722767,-111.918549,1230.0,13.64,21.56,-9999.0,-9999.0,6.0,2.0,20.11,18.0,879.5,0.0,5.0,2.11,27.9,831.6,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=20, tm_min=23, tm_sec=58, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,23,20,TRX01
2018-11-19 20:24:58,40.722916,-111.918411,1232.8,13.65,21.56,-9999.0,-9999.0,6.0,2.0,20.11,18.0,879.6,0.0,4.2,2.12,28.2,831.6,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=20, tm_min=24, tm_sec=58, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,24,20,TRX01
2018-11-19 20:27:00,40.722752,-111.918938,1239.1,13.64,21.59,-9999.0,-9999.0,6.0,2.0,20.22,18.0,879.5,0.0,8.1,2.11,28.7,831.6,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=20, tm_min=27, tm_sec=0, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,27,20,TRX01
2018-11-19 20:28:00,40.723038,-111.919395,1248.7,13.64,21.59,-9999.0,-9999.0,7.0,2.0,20.22,17.0,879.5,0.0,3.8,2.11,29.0,831.6,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=20, tm_min=28, tm_sec=0, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,28,20,TRX01
