Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,Battery_Voltage_volts,Train_Box_Temperature_degC,Train_Top_Relative_Humidity_%,Train_Top_Temperature_degC,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID
2023-01-01 00:00:00,40.72237,-111.921097,1291.7,14.09,10.83,84.1,4.74,2.0,2.0,4.11,31.0,865.1,0.0,21.9,1.56,26.4,832.1,1,0,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=1, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=6, tm_yday=1, tm_isdst=-1)",2023-01-01,2023,1,1,1,0,0,TRX02
2023-01-01 00:01:00,40.72237,-111.921097,1291.6,14.09,10.81,84.1,4.67,2.0,2.0,4.22,31.0,865.3,0.0,21.6,1.52,26.4,832.1,1,0,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=1, tm_hour=0, tm_min=1, tm_sec=0, tm_wday=6, tm_yday=1, tm_isdst=-1)",2023-01-01,2023,1,1,1,1,0,TRX02
