Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,2B405_NO_Concentration_ppbv,2B405_NO2_Concentration_ppbv,2B405_NOX_Concentration_ppbv,2B405_Internal_Air_Temperature_degC,2B405_Internal_Air_Pressure_hpa,2B405_Air_Flow_Rate_L/min,2B405_Cell_O3_Flow_Rate_mL/min,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute
2022-10-01 00:00:00,40.765755,-111.909721,1272.3,-9999.0,-9999.0,-9999.0,13.55,28.42,19.51,23.21,1.0,2.0,27.11,11.0,871.3,0.0,30.9,2.33,42.1,826.6,3.3,7.8,11.1,33.2,800.1,1.69,140.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=10, tm_mday=1, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=274, tm_isdst=-1)",2022-10-01,2022,10,274,1,0
2022-10-01 00:02:30,40.765751,-111.909721,1271.7,-9999.0,-9999.0,-9999.0,13.56,28.39,19.53,23.21,1.0,2.0,27.11,11.0,871.3,0.0,28.8,2.33,42.1,826.6,2.1,6.2,8.3,33.2,800.1,1.69,140.1,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=10, tm_mday=1, tm_hour=0, tm_min=2, tm_sec=30, tm_wday=5, tm_yday=274, tm_isdst=-1)",2022-10-01,2022,10,274,1,2
2022-10-01 00:05:00,40.765747,-111.909721,1271.0,-9999.0,-9999.0,-9999.0,13.56,28.36,19.63,23.3,1.0,2.0,27.0,11.0,871.2,0.0,30.0,2.33,42.0,826.7,4.9,4.9,9.7,33.2,800.1,1.69,140.1,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=10, tm_mday=1, tm_hour=0, tm_min=5, tm_sec=0, tm_wday=5, tm_yday=274, tm_isdst=-1)",2022-10-01,2022,10,274,1,5
2022-10-01 00:07:30,40.765747,-111.909721,1270.8,-9999.0,-9999.0,-9999.0,13.56,28.33,19.59,23.38,1.0,2.0,27.0,11.0,871.2,0.0,34.8,2.31,42.0,826.6,8.0,21.8,29.8,33.2,800.1,1.69,140.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=10, tm_mday=1, tm_hour=0, tm_min=7, tm_sec=30, tm_wday=5, tm_yday=274, tm_isdst=-1)",2022-10-01,2022,10,274,1,7
2022-10-01 00:10:00,40.765747,-111.909721,1270.7,-9999.0,-9999.0,-9999.0,13.56,28.3,19.59,23.78,1.0,2.0,26.89,11.0,871.3,0.0,26.3,2.33,42.0,826.7,-0.5,12.7,12.1,33.2,800.1,1.69,140.2,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=10, tm_mday=1, tm_hour=0, tm_min=10, tm_sec=0, tm_wday=5, tm_yday=274, tm_isdst=-1)",2022-10-01,2022,10,274,1,10
2022-10-01 00:12:30,40.765751,-111.909714,1270.8,-9999.0,-9999.0,-9999.0,13.56,28.27,19.59,24.3,1.0,2.0,26.89,12.0,871.2,0.0,28.1,2.32,42.0,826.6,2.9,13.1,16.0,33.2,800.1,1.69,140.1,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=10, tm_mday=1, tm_hour=0, tm_min=12, tm_sec=30, tm_wday=5, tm_yday=274, tm_isdst=-1)",2022-10-01,2022,10,274,1,12
2022-10-01 00:15:00,40.765762,-111.909714,1270.7,-9999.0,-9999.0,-9999.0,13.56,28.24,19.63,24.06,1.0,2.0,26.89,12.0,871.3,0.0,21.9,2.32,42.0,826.6,8.9,17.2,26.1,33.1,800.1,1.69,140.2,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=10, tm_mday=1, tm_hour=0, tm_min=15, tm_sec=0, tm_wday=5, tm_yday=274, tm_isdst=-1)",2022-10-01,2022,10,274,1,15
2022-10-01 00:17:30,40.765759,-111.909706,1270.4,-9999.0,-9999.0,-9999.0,13.56,28.21,19.7,24.63,1.0,2.0,26.78,12.0,871.3,0.0,34.7,2.32,41.9,826.7,9.0,16.0,25.0,33.1,800.1,1.69,140.3,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=10, tm_mday=1, tm_hour=0, tm_min=17, tm_sec=30, tm_wday=5, tm_yday=274, tm_isdst=-1)",2022-10-01,2022,10,274,1,17
2022-10-01 00:20:00,40.765743,-111.909706,1270.6,-9999.0,-9999.0,-9999.0,13.56,28.18,19.73,24.45,1.0,2.0,26.78,12.0,871.4,0.0,34.5,2.33,41.9,826.8,-2.1,7.0,4.9,33.1,800.2,1.69,139.9,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=10, tm_mday=1, tm_hour=0, tm_min=20, tm_sec=0, tm_wday=5, tm_yday=274, tm_isdst=-1)",2022-10-01,2022,10,274,1,20
2022-10-01 00:22:30,40.765728,-111.909706,1270.2,-9999.0,-9999.0,-9999.0,13.56,28.16,19.83,24.79,1.0,2.0,26.78,12.0,871.3,0.0,35.5,2.32,41.9,826.6,0.1,7.0,7.1,33.1,800.2,1.69,139.9,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=10, tm_mday=1, tm_hour=0, tm_min=22, tm_sec=30, tm_wday=5, tm_yday=274, tm_isdst=-1)",2022-10-01,2022,10,274,1,22
