Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,2B405_NO_Concentration_ppbv,2B405_NO2_Concentration_ppbv,2B405_NOX_Concentration_ppbv,2B405_Internal_Air_Temperature_degC,2B405_Internal_Air_Pressure_hpa,2B405_Air_Flow_Rate_L/min,2B405_Cell_O3_Flow_Rate_mL/min,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID,AQI,PM2.5_Category,Meso_West_Category
2021-09-28 16:49:10,40.766273,-111.847641,1474.7,-9999.0,-9999.0,-9999.0,12.5,21.34,22.94,23.51,5.0,2.0,20.28,27.0,852.3,0.0,33.3,2.2,32.2,819.2,0.8,-2.6,-1.8,20.9,805.6,1.56,56.7,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=16, tm_min=49, tm_sec=10, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,49,16,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 16:51:50,40.766617,-111.847954,1476.6,-9999.0,-9999.0,-9999.0,12.61,21.37,23.01,23.51,4.0,2.0,20.39,27.0,852.5,0.0,34.7,2.19,32.5,819.2,4.5,-3.7,0.8,21.0,805.6,1.53,57.8,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=16, tm_min=51, tm_sec=50, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,51,16,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 16:54:20,40.766483,-111.847748,1474.8,-9999.0,-9999.0,-9999.0,12.3,21.4,23.14,23.48,5.0,2.0,20.5,26.0,852.6,0.0,32.4,2.2,32.8,819.7,1.3,-1.3,0.0,21.2,805.7,1.53,57.9,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=16, tm_min=54, tm_sec=20, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,54,16,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 16:57:20,40.765793,-111.847237,1473.9,-9999.0,-9999.0,-9999.0,12.58,21.42,23.21,23.48,4.0,2.0,20.61,26.0,852.3,0.0,29.7,2.22,33.1,819.7,0.8,2.1,2.9,21.3,805.7,1.53,57.9,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=16, tm_min=57, tm_sec=20, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,57,16,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 16:59:50,40.766312,-111.847649,1476.7,-9999.0,-9999.0,-9999.0,12.57,21.48,23.35,24.05,5.0,2.0,20.61,26.0,852.3,0.0,33.5,2.19,33.3,819.1,1.2,3.4,4.6,21.4,805.6,1.53,57.9,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=16, tm_min=59, tm_sec=50, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,59,16,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 17:02:20,40.766411,-111.847694,1478.4,-9999.0,-9999.0,-9999.0,12.31,21.48,23.35,24.46,4.0,2.0,20.72,26.0,852.6,0.0,31.2,2.21,33.5,819.7,8.5,0.0,8.5,21.6,805.6,1.53,58.0,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=17, tm_min=2, tm_sec=20, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,2,17,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 17:05:50,40.766304,-111.847603,1482.7,-9999.0,-9999.0,-9999.0,12.34,21.51,23.41,24.86,5.0,2.0,20.72,26.0,852.3,0.0,33.4,2.22,33.7,819.0,0.9,-0.3,0.6,21.7,805.4,1.53,58.2,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=17, tm_min=5, tm_sec=50, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,5,17,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 17:08:20,40.766232,-111.847618,1478.7,-9999.0,-9999.0,-9999.0,12.35,21.53,23.45,25.07,5.0,2.0,20.78,26.0,852.4,0.0,32.4,2.22,33.9,819.5,0.7,0.7,1.4,21.9,805.4,1.54,58.2,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=17, tm_min=8, tm_sec=20, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,8,17,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 17:10:55,40.766422,-111.847282,1472.5,-9999.0,-9999.0,-9999.0,12.61,21.56,23.58,25.14,5.0,2.0,20.78,26.0,852.4,0.0,32.5,2.22,34.0,819.0,2.7,1.8,4.5,22.0,805.4,1.56,57.3,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=17, tm_min=10, tm_sec=55, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,10,17,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 17:14:35,40.766361,-111.847855,1470.4,-9999.0,-9999.0,-9999.0,12.37,21.59,23.62,24.8,5.0,2.0,20.89,26.0,852.2,0.0,30.2,2.22,34.2,818.9,4.1,1.7,5.8,22.2,805.3,1.54,58.3,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=17, tm_min=14, tm_sec=35, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,14,17,BUS01,Good,< 12.00,4.00 - 6.00
