Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,2B405_NO_Concentration_ppbv,2B405_NO2_Concentration_ppbv,2B405_NOX_Concentration_ppbv,2B405_Internal_Air_Temperature_degC,2B405_Internal_Air_Pressure_hpa,2B405_Air_Flow_Rate_L/min,2B405_Cell_O3_Flow_Rate_mL/min,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID
2023-04-06 17:03:05,40.765678,-111.909714,1276.9,-9999.0,-9999.0,-9999.0,13.98,6.64,4.49,27.8,2.0,2.0,5.89,25.0,881.8,0.0,16.6,2.3,13.4,830.5,85.3,48.7,134.0,8.3,810.3,2.01,133.9,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=17, tm_min=3, tm_sec=5, tm_wday=3, tm_yday=96, tm_isdst=-1)",2023-04-06,2023,4,96,6,3,17,BUS03
2023-04-06 17:05:35,40.765888,-111.909676,1273.5,-9999.0,-9999.0,-9999.0,13.98,6.78,4.5,30.55,1.0,2.0,6.5,25.0,881.8,0.0,12.9,2.31,14.2,830.4,101.6,48.9,150.6,8.5,810.1,2.01,134.2,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=17, tm_min=5, tm_sec=35, tm_wday=3, tm_yday=96, tm_isdst=-1)",2023-04-06,2023,4,96,6,5,17,BUS03
2023-04-06 17:08:05,40.765858,-111.909637,1275.6,-9999.0,-9999.0,-9999.0,13.98,6.95,4.63,27.51,2.0,2.0,6.78,24.0,881.8,0.0,12.9,2.31,14.8,830.5,12.4,40.6,53.0,8.7,810.1,2.01,134.2,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=17, tm_min=8, tm_sec=5, tm_wday=3, tm_yday=96, tm_isdst=-1)",2023-04-06,2023,4,96,6,8,17,BUS03
2023-04-06 17:10:35,40.765728,-111.909286,1274.1,-9999.0,-9999.0,-9999.0,13.98,7.11,4.66,27.18,9.0,2.0,7.11,23.0,882.0,0.0,11.3,2.33,15.4,830.4,10.9,19.9,30.8,8.8,810.0,2.01,134.2,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=17, tm_min=10, tm_sec=35, tm_wday=3, tm_yday=96, tm_isdst=-1)",2023-04-06,2023,4,96,6,10,17,BUS03
2023-04-06 17:13:10,40.765808,-111.909622,1274.5,-9999.0,-9999.0,-9999.0,13.98,7.26,4.88,25.76,3.0,2.0,7.28,23.0,881.8,0.0,26.6,2.32,16.0,830.5,32.3,27.9,60.2,9.0,810.1,2.01,135.7,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=17, tm_min=13, tm_sec=10, tm_wday=3, tm_yday=96, tm_isdst=-1)",2023-04-06,2023,4,96,6,13,17,BUS03
2023-04-06 17:15:40,40.765732,-111.909554,1273.6,-9999.0,-9999.0,-9999.0,13.98,7.4,4.91,25.06,3.0,2.0,7.5,22.0,882.0,0.0,23.2,2.33,16.5,831.0,29.2,30.6,59.8,9.2,810.0,2.01,135.8,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=17, tm_min=15, tm_sec=40, tm_wday=3, tm_yday=96, tm_isdst=-1)",2023-04-06,2023,4,96,6,15,17,BUS03
2023-04-06 17:18:10,40.76564,-111.909454,1267.0,-9999.0,-9999.0,-9999.0,13.98,7.54,5.01,26.03,2.0,2.0,7.61,22.0,881.8,0.0,12.3,2.33,16.9,830.5,60.4,35.6,96.0,9.4,809.9,2.02,135.7,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=17, tm_min=18, tm_sec=10, tm_wday=3, tm_yday=96, tm_isdst=-1)",2023-04-06,2023,4,96,6,18,17,BUS03
2023-04-06 17:20:40,40.765839,-111.909683,1266.2,-9999.0,-9999.0,-9999.0,13.98,7.67,5.15,26.56,3.0,2.0,7.72,22.0,881.8,0.0,4.4,2.35,17.3,831.0,94.7,39.0,133.8,9.6,809.9,2.02,136.0,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=17, tm_min=20, tm_sec=40, tm_wday=3, tm_yday=96, tm_isdst=-1)",2023-04-06,2023,4,96,6,20,17,BUS03
2023-04-06 17:23:10,40.765823,-111.909904,1268.1,-9999.0,-9999.0,-9999.0,13.98,7.81,5.21,25.58,2.0,2.0,7.78,22.0,881.9,0.0,20.2,2.34,17.7,830.5,42.3,32.3,74.6,9.7,809.9,2.02,135.9,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=17, tm_min=23, tm_sec=10, tm_wday=3, tm_yday=96, tm_isdst=-1)",2023-04-06,2023,4,96,6,23,17,BUS03
2023-04-06 17:25:40,40.765652,-111.909676,1269.9,-9999.0,-9999.0,-9999.0,13.98,7.93,5.38,24.95,1.0,2.0,8.0,22.0,881.8,0.0,24.9,2.35,18.1,831.0,52.7,32.3,85.1,9.9,809.9,2.02,135.8,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=17, tm_min=25, tm_sec=40, tm_wday=3, tm_yday=96, tm_isdst=-1)",2023-04-06,2023,4,96,6,25,17,BUS03
