Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,2B405_NO_Concentration_ppbv,2B405_NO2_Concentration_ppbv,2B405_NOX_Concentration_ppbv,2B405_Internal_Air_Temperature_degC,2B405_Internal_Air_Pressure_hpa,2B405_Air_Flow_Rate_L/min,2B405_Cell_O3_Flow_Rate_mL/min,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour
2023-09-01 04:27:05,40.760002,-111.910454,1320.9,0.0,254.4,1.0,13.52,32.74,30.68,17.81,11.0,2.0,33.0,16.0,865.8,0.0,29.1,2.5,34.7,803.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=4, tm_min=27, tm_sec=5, tm_wday=4, tm_yday=244, tm_isdst=-1)",2023-09-01,2023,9,244,1,27,4
2023-09-01 04:29:35,40.7617,-111.910797,1296.8,0.0,132.6,1.0,13.53,32.69,30.54,18.19,7.0,2.0,32.89,17.0,865.7,0.0,30.3,2.51,36.1,803.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=4, tm_min=29, tm_sec=35, tm_wday=4, tm_yday=244, tm_isdst=-1)",2023-09-01,2023,9,244,1,29,4
2023-09-01 04:32:05,40.7617,-111.910797,1296.8,0.0,132.6,1.0,13.52,32.64,30.48,18.27,3.0,2.0,32.78,17.0,865.6,0.0,18.9,2.52,37.2,803.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=4, tm_min=32, tm_sec=5, tm_wday=4, tm_yday=244, tm_isdst=-1)",2023-09-01,2023,9,244,1,32,4
2023-09-01 04:34:35,40.761688,-111.910789,1294.1,0.0,132.6,1.0,13.53,32.63,30.3,18.19,3.0,2.0,32.78,16.0,865.6,0.0,15.0,2.52,38.1,803.3,0.0,0.0,0.0,34.0,786.5,2.1,144.8,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=4, tm_min=34, tm_sec=35, tm_wday=4, tm_yday=244, tm_isdst=-1)",2023-09-01,2023,9,244,1,34,4
2023-09-01 04:37:05,40.761757,-111.910866,1294.4,0.0,132.6,1.0,13.53,32.62,30.35,18.24,3.0,2.0,32.89,16.0,865.9,0.0,17.3,2.53,38.9,803.3,15.3,27.8,43.1,34.0,786.5,2.09,144.9,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=4, tm_min=37, tm_sec=5, tm_wday=4, tm_yday=244, tm_isdst=-1)",2023-09-01,2023,9,244,1,37,4
2023-09-01 04:39:35,40.761688,-111.910973,1292.9,0.0,132.6,1.0,13.02,32.63,30.36,18.22,3.0,2.0,33.0,16.0,865.7,0.0,13.7,2.54,39.6,803.3,22.8,32.0,54.8,34.1,786.4,2.09,145.1,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=4, tm_min=39, tm_sec=35, tm_wday=4, tm_yday=244, tm_isdst=-1)",2023-09-01,2023,9,244,1,39,4
2023-09-01 04:42:05,40.761688,-111.910805,1291.3,0.0,51.8,1.0,13.52,32.66,30.44,18.14,2.0,2.0,33.11,16.0,865.7,0.0,19.5,2.54,40.2,803.3,20.2,33.4,53.6,34.1,786.4,2.09,145.1,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=4, tm_min=42, tm_sec=5, tm_wday=4, tm_yday=244, tm_isdst=-1)",2023-09-01,2023,9,244,1,42,4
2023-09-01 04:44:35,40.76178,-111.910873,1290.6,0.0,51.8,1.0,13.53,32.69,30.4,18.17,4.0,2.0,33.22,16.0,865.8,0.0,17.9,2.54,40.7,803.4,12.9,19.5,32.3,34.1,786.3,2.09,145.2,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=4, tm_min=44, tm_sec=35, tm_wday=4, tm_yday=244, tm_isdst=-1)",2023-09-01,2023,9,244,1,44,4
2023-09-01 04:47:05,40.761822,-111.910728,1292.3,0.0,64.2,1.0,13.53,32.74,30.4,18.17,3.0,2.0,33.28,16.0,865.9,0.0,25.8,2.55,41.2,803.4,12.0,17.8,29.9,34.2,786.2,2.09,145.3,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=4, tm_min=47, tm_sec=5, tm_wday=4, tm_yday=244, tm_isdst=-1)",2023-09-01,2023,9,244,1,47,4
2023-09-01 04:49:35,40.761791,-111.910759,1293.4,0.0,299.8,1.0,13.53,32.79,30.41,18.21,2.0,2.0,33.39,16.0,865.9,0.0,22.4,2.56,41.6,803.4,6.4,14.6,21.0,34.3,786.3,2.09,145.2,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=4, tm_min=49, tm_sec=35, tm_wday=4, tm_yday=244, tm_isdst=-1)",2023-09-01,2023,9,244,1,49,4
