Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,2B405_NO_Concentration_ppbv,2B405_NO2_Concentration_ppbv,2B405_NOX_Concentration_ppbv,2B405_Internal_Air_Temperature_degC,2B405_Internal_Air_Pressure_hpa,2B405_Air_Flow_Rate_L/min,2B405_Cell_O3_Flow_Rate_mL/min,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute
2023-07-01 00:00:00,40.763542,-111.909431,1293.3,0.0,169.0,1.0,13.33,34.87,29.59,17.58,2.0,2.0,34.0,12.0,873.7,0.0,55.9,2.39,47.9,820.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,0
2023-07-01 00:02:30,40.76355,-111.909431,1293.8,0.0,169.0,1.0,13.33,34.88,29.88,17.18,2.0,2.0,34.0,12.0,873.6,0.0,60.3,2.38,47.9,821.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=0, tm_min=2, tm_sec=30, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,2
2023-07-01 00:05:00,40.763554,-111.909431,1294.2,0.0,169.0,1.0,13.33,34.88,29.7,17.38,1.0,2.0,34.0,12.0,873.8,0.0,57.3,2.39,47.8,820.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=0, tm_min=5, tm_sec=0, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,5
2023-07-01 00:07:30,40.763554,-111.909431,1294.6,0.0,169.0,1.0,13.33,34.87,29.44,17.72,2.0,2.0,34.0,12.0,873.6,0.0,57.1,2.38,47.8,821.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=0, tm_min=7, tm_sec=30, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,7
2023-07-01 00:10:00,40.763557,-111.909431,1294.8,0.0,169.0,1.0,13.33,34.85,29.29,17.65,2.0,2.0,34.0,11.0,873.9,0.0,62.7,2.39,47.8,820.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=0, tm_min=10, tm_sec=0, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,10
2023-07-01 00:13:35,40.763561,-111.909424,1295.1,0.0,169.0,1.0,13.33,34.84,29.03,17.86,2.0,2.0,34.11,11.0,873.6,0.0,60.9,2.38,47.8,820.7,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=0, tm_min=13, tm_sec=35, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,13
2023-07-01 00:16:05,40.764935,-111.907104,1289.4,11.47,90.9,1.0,13.33,34.83,29.7,17.32,4.0,2.0,34.22,12.0,873.2,0.0,51.8,2.4,47.8,820.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=0, tm_min=16, tm_sec=5, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,16
2023-07-01 00:18:35,40.760689,-111.909164,1294.7,17.39,272.9,1.0,13.33,34.79,30.16,16.87,4.0,2.0,34.11,12.0,871.9,0.0,55.4,2.39,47.8,819.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=0, tm_min=18, tm_sec=35, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,18
2023-07-01 00:21:05,40.75219,-111.91687,1287.4,0.0,179.4,1.0,13.33,34.73,30.23,18.29,6.0,2.0,33.89,12.0,873.9,0.0,57.9,2.38,47.8,820.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=0, tm_min=21, tm_sec=5, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,21
2023-07-01 00:23:35,40.740818,-111.916901,1285.7,0.0,180.6,1.0,13.33,34.66,30.06,18.32,3.0,2.0,33.78,12.0,873.8,0.0,45.7,2.39,47.8,820.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=0, tm_min=23, tm_sec=35, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,23
