Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,2B405_NO_Concentration_ppbv,2B405_NO2_Concentration_ppbv,2B405_NOX_Concentration_ppbv,2B405_Internal_Air_Temperature_degC,2B405_Internal_Air_Pressure_hpa,2B405_Air_Flow_Rate_L/min,2B405_Cell_O3_Flow_Rate_mL/min,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute
2022-05-24 16:36:40,40.765705,-111.908501,1275.2,-9999.0,-9999.0,-9999.0,13.73,20.73,20.65,19.48,3.0,2.0,20.39,20.0,873.6,0.0,12.4,2.17,28.3,825.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=24, tm_hour=16, tm_min=36, tm_sec=40, tm_wday=1, tm_yday=144, tm_isdst=-1)",2022-05-24,2022,5,144,24,36
2022-05-24 16:39:10,40.765663,-111.908051,1302.0,-9999.0,-9999.0,-9999.0,13.73,20.88,20.7,23.09,10.0,2.0,20.61,22.0,873.3,0.0,9.7,2.17,28.9,825.7,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=24, tm_hour=16, tm_min=39, tm_sec=10, tm_wday=1, tm_yday=144, tm_isdst=-1)",2022-05-24,2022,5,144,24,39
2022-05-24 16:41:40,40.765663,-111.908844,1292.9,-9999.0,-9999.0,-9999.0,13.74,21.03,20.68,21.45,7.0,2.0,20.72,22.0,873.3,0.0,9.0,2.18,29.5,825.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=24, tm_hour=16, tm_min=41, tm_sec=40, tm_wday=1, tm_yday=144, tm_isdst=-1)",2022-05-24,2022,5,144,24,41
2022-05-24 16:44:10,40.765675,-111.908813,1292.1,-9999.0,-9999.0,-9999.0,13.74,21.19,20.74,19.81,4.0,2.0,20.78,22.0,873.5,0.0,11.5,2.19,30.0,825.7,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=24, tm_hour=16, tm_min=44, tm_sec=10, tm_wday=1, tm_yday=144, tm_isdst=-1)",2022-05-24,2022,5,144,24,44
2022-05-24 16:46:40,40.765701,-111.908775,1294.7,-9999.0,-9999.0,-9999.0,13.74,21.34,20.8,19.57,5.0,2.0,21.0,22.0,873.6,0.0,6.4,2.19,30.5,825.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=24, tm_hour=16, tm_min=46, tm_sec=40, tm_wday=1, tm_yday=144, tm_isdst=-1)",2022-05-24,2022,5,144,24,46
2022-05-24 16:49:10,40.765732,-111.90873,1288.8,-9999.0,-9999.0,-9999.0,13.74,21.49,20.82,19.52,4.0,2.0,21.11,21.0,873.7,0.0,6.6,2.18,30.9,825.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=24, tm_hour=16, tm_min=49, tm_sec=10, tm_wday=1, tm_yday=144, tm_isdst=-1)",2022-05-24,2022,5,144,24,49
2022-05-24 16:51:40,40.765678,-111.908737,1287.9,-9999.0,-9999.0,-9999.0,13.73,21.63,20.84,19.3,5.0,2.0,21.22,21.0,873.4,0.0,5.0,2.19,31.3,825.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=24, tm_hour=16, tm_min=51, tm_sec=40, tm_wday=1, tm_yday=144, tm_isdst=-1)",2022-05-24,2022,5,144,24,51
2022-05-24 16:54:10,40.765774,-111.90889,1289.3,-9999.0,-9999.0,-9999.0,13.7,21.78,20.86,19.65,3.0,2.0,21.28,21.0,873.3,0.0,8.5,2.2,31.7,825.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=24, tm_hour=16, tm_min=54, tm_sec=10, tm_wday=1, tm_yday=144, tm_isdst=-1)",2022-05-24,2022,5,144,24,54
2022-05-24 16:56:40,40.765697,-111.908905,1290.6,-9999.0,-9999.0,-9999.0,13.7,21.92,20.9,21.91,9.0,2.0,21.39,21.0,873.3,0.0,-1.5,2.2,32.0,825.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=24, tm_hour=16, tm_min=56, tm_sec=40, tm_wday=1, tm_yday=144, tm_isdst=-1)",2022-05-24,2022,5,144,24,56
2022-05-24 16:59:10,40.765759,-111.908821,1290.8,-9999.0,-9999.0,-9999.0,13.7,22.06,20.95,23.13,14.0,2.0,21.5,23.0,873.1,0.0,3.1,2.21,32.4,825.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=24, tm_hour=16, tm_min=59, tm_sec=10, tm_wday=1, tm_yday=144, tm_isdst=-1)",2022-05-24,2022,5,144,24,59
