Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES405_PM1_Concentration_ug/m3,ES405_PM2.5_Concentration_ug/m3,ES405_PM4_Concentration_ug/m3,ES405_PM10_Concentration_ug/m3,ES405_Air_Flow_Rate_L/min,ES405_Internal_Air_Temperature_degC,ES405_Internal_Relative_Humidity_%,ES405_Internal_Air_Pressure_hpa,ES405_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID
2023-05-03 23:07:00,40.762192,-111.910149,1281.9,3.4,354.2,1.0,13.45,25.01,26.32,13.31,2.1,6.0,13.4,22.9,1.0,24.0,20.3,647.5,0.0,62.0,2.01,26.6,832.1,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=3, tm_hour=23, tm_min=7, tm_sec=0, tm_wday=2, tm_yday=123, tm_isdst=-1)",2023-05-03,2023,5,123,3,7,23,BUS04
2023-05-04 12:35:00,40.762642,-111.911346,1298.5,0.0,352.0,1.0,13.65,17.91,17.5,34.65,1.1,2.2,3.7,4.6,1.0,18.39,27.2,648.5,0.0,31.7,2.04,26.6,833.7,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=4, tm_hour=12, tm_min=35, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=-1)",2023-05-04,2023,5,124,4,35,12,BUS04
2023-05-04 13:05:00,40.769249,-111.900269,1307.0,0.0,87.5,1.0,13.62,17.32,15.26,51.13,2.0,4.7,9.2,11.5,1.0,19.22,30.5,647.9,0.0,19.5,2.06,28.6,832.7,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=4, tm_hour=13, tm_min=5, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=-1)",2023-05-04,2023,5,124,4,5,13,BUS04
2023-05-04 13:37:00,40.769417,-111.897911,1306.0,13.63,270.4,1.0,13.62,17.11,15.75,48.79,2.5,5.4,9.4,14.0,1.0,18.78,29.1,647.2,0.0,2.5,2.07,28.5,832.2,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=4, tm_hour=13, tm_min=37, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=-1)",2023-05-04,2023,5,124,4,37,13,BUS04
2023-05-04 14:07:00,40.769234,-111.889854,1312.0,8.69,88.4,1.0,13.62,17.24,16.61,43.91,3.1,7.7,16.6,25.4,1.0,19.28,30.9,646.7,0.0,11.7,2.05,28.7,831.1,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=4, tm_hour=14, tm_min=7, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=-1)",2023-05-04,2023,5,124,4,7,14,BUS04
2023-05-04 14:55:00,40.768322,-111.893898,1316.4,11.16,358.2,1.0,13.67,18.28,18.08,34.13,1.3,3.0,5.1,6.6,1.0,19.28,29.4,647.0,0.0,42.2,2.01,27.1,831.6,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=4, tm_hour=14, tm_min=55, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=-1)",2023-05-04,2023,5,124,4,55,14,BUS04
2023-05-04 16:24:00,40.762512,-111.911095,1308.6,0.62,153.5,1.0,13.59,19.98,19.97,32.5,1.5,3.6,6.9,9.9,1.0,19.61,26.4,648.6,0.0,41.8,1.99,23.8,833.4,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=4, tm_hour=16, tm_min=24, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=-1)",2023-05-04,2023,5,124,4,24,16,BUS04
2023-05-04 17:00:00,40.76313,-111.910751,1290.8,0.57,159.0,1.0,13.54,21.23,20.73,31.0,1.3,3.2,6.0,8.3,1.0,21.78,28.3,648.3,0.0,41.6,2.06,31.1,833.4,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=4, tm_hour=17, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=-1)",2023-05-04,2023,5,124,4,0,17,BUS04
2023-05-04 17:30:00,40.759521,-111.911362,1288.2,0.0,92.3,1.0,13.47,22.71,22.75,19.77,1.4,3.3,6.4,9.8,1.0,22.89,24.2,648.2,0.0,45.6,2.07,33.0,833.2,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=4, tm_hour=17, tm_min=30, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=-1)",2023-05-04,2023,5,124,4,30,17,BUS04
2023-05-05 12:34:00,40.761581,-111.9104,1246.3,0.0,345.0,1.0,13.84,12.12,11.31,39.52,0.5,1.2,2.3,2.9,1.0,11.78,28.0,651.4,0.0,43.4,1.95,18.4,836.8,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=5, tm_hour=12, tm_min=34, tm_sec=0, tm_wday=4, tm_yday=125, tm_isdst=-1)",2023-05-05,2023,5,125,5,34,12,BUS04
