Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,2B405_NO_Concentration_ppbv,2B405_NO2_Concentration_ppbv,2B405_NOX_Concentration_ppbv,2B405_Internal_Air_Temperature_degC,2B405_Internal_Air_Pressure_hpa,2B405_Air_Flow_Rate_L/min,2B405_Cell_O3_Flow_Rate_mL/min,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute
2022-06-03 16:05:05,40.765533,-111.908302,1383.5,-9999.0,-9999.0,-9999.0,13.7,22.58,23.67,24.63,3.0,2.0,22.5,25.0,867.7,0.0,6.5,2.15,25.0,819.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=3, tm_hour=16, tm_min=5, tm_sec=5, tm_wday=4, tm_yday=154, tm_isdst=-1)",2022-06-03,2022,6,154,3,5
2022-06-03 16:07:35,40.765877,-111.90815,1337.0,-9999.0,-9999.0,-9999.0,13.7,22.62,23.76,25.42,4.0,2.0,22.61,27.0,867.4,0.0,6.8,2.16,26.3,818.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=3, tm_hour=16, tm_min=7, tm_sec=35, tm_wday=4, tm_yday=154, tm_isdst=-1)",2022-06-03,2022,6,154,3,7
2022-06-03 16:10:05,40.765694,-111.908157,1328.7,-9999.0,-9999.0,-9999.0,13.7,22.7,23.87,24.57,4.0,2.0,22.72,27.0,867.5,0.0,11.9,2.18,27.4,819.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=3, tm_hour=16, tm_min=10, tm_sec=5, tm_wday=4, tm_yday=154, tm_isdst=-1)",2022-06-03,2022,6,154,3,10
2022-06-03 16:12:35,40.765808,-111.908264,1328.1,-9999.0,-9999.0,-9999.0,13.7,22.81,23.97,23.89,5.0,2.0,22.78,27.0,867.4,0.0,6.5,2.18,28.4,818.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=3, tm_hour=16, tm_min=12, tm_sec=35, tm_wday=4, tm_yday=154, tm_isdst=-1)",2022-06-03,2022,6,154,3,12
2022-06-03 16:15:05,40.765808,-111.908379,1320.4,-9999.0,-9999.0,-9999.0,13.18,22.93,24.06,22.86,4.0,2.0,23.0,26.0,867.6,0.0,9.3,2.19,29.2,819.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=3, tm_hour=16, tm_min=15, tm_sec=5, tm_wday=4, tm_yday=154, tm_isdst=-1)",2022-06-03,2022,6,154,3,15
2022-06-03 16:17:35,40.765697,-111.908646,1315.1,-9999.0,-9999.0,-9999.0,13.67,23.08,24.15,23.35,4.0,2.0,23.11,26.0,867.7,0.0,7.7,2.19,30.0,818.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=3, tm_hour=16, tm_min=17, tm_sec=35, tm_wday=4, tm_yday=154, tm_isdst=-1)",2022-06-03,2022,6,154,3,17
2022-06-03 16:20:05,40.765739,-111.908806,1305.1,-9999.0,-9999.0,-9999.0,13.66,23.23,24.21,23.73,2.0,2.0,23.28,26.0,867.6,0.0,4.7,2.2,30.7,819.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=3, tm_hour=16, tm_min=20, tm_sec=5, tm_wday=4, tm_yday=154, tm_isdst=-1)",2022-06-03,2022,6,154,3,20
2022-06-03 16:22:35,40.765766,-111.908813,1305.9,-9999.0,-9999.0,-9999.0,13.67,23.4,24.27,23.51,3.0,2.0,23.39,26.0,867.3,0.0,8.8,2.2,31.3,818.7,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=3, tm_hour=16, tm_min=22, tm_sec=35, tm_wday=4, tm_yday=154, tm_isdst=-1)",2022-06-03,2022,6,154,3,22
2022-06-03 16:25:05,40.765667,-111.908409,1304.4,-9999.0,-9999.0,-9999.0,13.66,23.56,24.39,23.65,4.0,2.0,23.61,26.0,867.4,0.0,6.3,2.21,31.9,819.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=3, tm_hour=16, tm_min=25, tm_sec=5, tm_wday=4, tm_yday=154, tm_isdst=-1)",2022-06-03,2022,6,154,3,25
2022-06-03 16:27:35,40.76582,-111.908684,1304.0,-9999.0,-9999.0,-9999.0,13.67,23.73,24.45,23.08,4.0,2.0,23.72,25.0,867.3,0.0,9.7,2.21,32.4,818.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=3, tm_hour=16, tm_min=27, tm_sec=35, tm_wday=4, tm_yday=154, tm_isdst=-1)",2022-06-03,2022,6,154,3,27
2022-06-03 16:30:05,40.765759,-111.908272,1303.7,-9999.0,-9999.0,-9999.0,13.66,23.9,24.49,22.44,4.0,2.0,23.89,25.0,867.5,0.0,12.7,2.22,32.9,819.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=3, tm_hour=16, tm_min=30, tm_sec=5, tm_wday=4, tm_yday=154, tm_isdst=-1)",2022-06-03,2022,6,154,3,30
2022-06-03 16:32:35,40.76564,-111.908661,1301.0,-9999.0,-9999.0,-9999.0,13.67,24.07,24.57,23.15,5.0,2.0,24.0,25.0,867.3,0.0,8.1,2.23,33.4,818.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=3, tm_hour=16, tm_min=32, tm_sec=35, tm_wday=4, tm_yday=154, tm_isdst=-1)",2022-06-03,2022,6,154,3,32
