Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,Battery_Voltage_volts,Train_Box_Temperature_degC,Train_Top_Temperature_degC,Train_Top_Relative_Humidity_%,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID
2023-05-01 00:00:00,40.542755,-112.012787,1463.1,13.12,36.08,27.41,10.84,3.0,2.0,28.89,6.0,849.3,40.0,49.8,2.35,50.5,805.4,1,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=1, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=121, tm_isdst=-1)",2023-05-01,2023,5,121,1,0,0,TRX02
2023-05-01 00:01:00,40.542755,-112.012794,1463.4,13.12,36.04,27.65,10.61,2.0,2.0,29.39,6.0,849.2,40.0,54.4,2.36,50.5,805.4,1,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=1, tm_hour=0, tm_min=1, tm_sec=0, tm_wday=0, tm_yday=121, tm_isdst=-1)",2023-05-01,2023,5,121,1,1,0,TRX02
2023-05-01 00:02:00,40.542755,-112.012794,1463.8,13.11,36.0,27.48,11.11,3.0,2.0,29.22,6.0,849.2,40.0,50.5,2.34,50.5,805.6,1,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=1, tm_hour=0, tm_min=2, tm_sec=0, tm_wday=0, tm_yday=121, tm_isdst=-1)",2023-05-01,2023,5,121,1,2,0,TRX02
2023-05-01 00:03:00,40.542755,-112.012794,1464.1,13.12,35.87,27.55,10.77,2.0,2.0,29.11,6.0,849.0,40.0,43.7,2.34,50.4,805.6,1,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=1, tm_hour=0, tm_min=3, tm_sec=0, tm_wday=0, tm_yday=121, tm_isdst=-1)",2023-05-01,2023,5,121,1,3,0,TRX02
2023-05-01 00:04:00,40.542759,-112.012802,1464.5,13.12,35.84,27.68,11.55,2.0,2.0,30.0,6.0,849.0,40.0,48.5,2.34,50.4,805.7,1,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=1, tm_hour=0, tm_min=4, tm_sec=0, tm_wday=0, tm_yday=121, tm_isdst=-1)",2023-05-01,2023,5,121,1,4,0,TRX02
2023-05-01 00:05:00,40.542759,-112.012802,1464.9,13.12,35.84,27.65,11.04,4.0,2.0,30.39,6.0,849.2,40.0,47.3,2.35,50.4,805.8,1,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=1, tm_hour=0, tm_min=5, tm_sec=0, tm_wday=0, tm_yday=121, tm_isdst=-1)",2023-05-01,2023,5,121,1,5,0,TRX02
2023-05-01 00:06:00,40.542759,-112.012802,1465.2,13.12,35.8,27.78,10.98,2.0,2.0,30.5,6.0,849.2,40.0,48.1,2.35,50.3,805.7,1,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=1, tm_hour=0, tm_min=6, tm_sec=0, tm_wday=0, tm_yday=121, tm_isdst=-1)",2023-05-01,2023,5,121,1,6,0,TRX02
2023-05-01 00:07:00,40.542759,-112.012802,1465.2,13.12,35.8,27.89,10.3,2.0,2.0,30.39,6.0,849.1,40.0,47.5,2.35,50.3,805.7,1,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=1, tm_hour=0, tm_min=7, tm_sec=0, tm_wday=0, tm_yday=121, tm_isdst=-1)",2023-05-01,2023,5,121,1,7,0,TRX02
2023-05-01 00:08:00,40.542759,-112.012802,1465.2,13.12,35.75,27.92,10.0,4.0,2.0,30.72,6.0,849.1,40.0,52.7,2.33,50.3,805.6,1,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=1, tm_hour=0, tm_min=8, tm_sec=0, tm_wday=0, tm_yday=121, tm_isdst=-1)",2023-05-01,2023,5,121,1,8,0,TRX02
2023-05-01 00:09:00,40.542759,-112.012802,1465.3,13.12,35.71,27.88,10.17,3.0,2.0,30.0,6.0,849.2,40.0,52.7,2.35,50.3,805.7,1,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=1, tm_hour=0, tm_min=9, tm_sec=0, tm_wday=0, tm_yday=121, tm_isdst=-1)",2023-05-01,2023,5,121,1,9,0,TRX02
