Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,2B405_NO_Concentration_ppbv,2B405_NO2_Concentration_ppbv,2B405_NOX_Concentration_ppbv,2B405_Internal_Air_Temperature_degC,2B405_Internal_Air_Pressure_hpa,2B405_Air_Flow_Rate_L/min,2B405_Cell_O3_Flow_Rate_mL/min,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID
2023-01-03 06:36:45,40.765629,-111.909828,1301.5,-9999.0,-9999.0,-9999.0,14.1,-0.2,-0.91,80.6,2.0,2.0,-2.61,67.0,867.4,0.0,0.8,2.05,4.3,829.9,-15.9,0.0,0.0,0.2,808.6,1.7,104.4,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=6, tm_min=36, tm_sec=45, tm_wday=1, tm_yday=3, tm_isdst=-1)",2023-01-03,2023,1,3,3,36,6,BUS02
2023-01-03 06:39:15,40.765862,-111.909813,1259.8,-9999.0,-9999.0,-9999.0,14.1,-0.09,-0.85,80.7,3.0,2.0,-2.5,66.0,867.3,0.0,-2.4,2.06,5.5,830.8,-63.1,0.0,0.0,0.2,808.2,1.7,104.6,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=6, tm_min=39, tm_sec=15, tm_wday=1, tm_yday=3, tm_isdst=-1)",2023-01-03,2023,1,3,3,39,6,BUS02
2023-01-03 06:41:45,40.765846,-111.909767,1263.6,-9999.0,-9999.0,-9999.0,13.55,0.04,-0.79,80.7,2.0,2.0,-2.28,64.0,867.2,0.0,1.1,2.06,6.4,830.0,-19.6,0.0,0.0,0.3,808.0,1.68,104.8,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=6, tm_min=41, tm_sec=45, tm_wday=1, tm_yday=3, tm_isdst=-1)",2023-01-03,2023,1,3,3,41,6,BUS02
2023-01-03 06:44:15,40.765579,-111.909775,1275.3,-9999.0,-9999.0,-9999.0,14.06,0.19,-0.77,80.5,2.0,2.0,-2.11,61.0,867.3,0.0,22.7,2.07,7.3,830.6,92.5,0.0,0.0,0.4,807.7,1.68,105.5,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=6, tm_min=44, tm_sec=15, tm_wday=1, tm_yday=3, tm_isdst=-1)",2023-01-03,2023,1,3,3,44,6,BUS02
2023-01-03 06:46:45,40.765854,-111.90976,1260.2,-9999.0,-9999.0,-9999.0,14.06,0.35,-0.73,80.3,2.0,2.0,-1.89,58.0,867.5,0.0,7.7,2.04,8.1,830.4,311.0,0.0,0.0,0.5,807.5,1.68,105.4,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=6, tm_min=46, tm_sec=45, tm_wday=1, tm_yday=3, tm_isdst=-1)",2023-01-03,2023,1,3,3,46,6,BUS02
2023-01-03 06:49:15,40.765926,-111.909691,1261.7,-9999.0,-9999.0,-9999.0,14.06,0.52,-0.73,79.91,2.0,2.0,-1.72,56.0,867.5,0.0,16.4,2.06,8.8,830.7,90.9,0.0,0.0,0.5,807.3,1.68,105.8,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=6, tm_min=49, tm_sec=15, tm_wday=1, tm_yday=3, tm_isdst=-1)",2023-01-03,2023,1,3,3,49,6,BUS02
2023-01-03 06:51:45,40.76585,-111.909721,1270.7,-9999.0,-9999.0,-9999.0,14.06,0.69,-0.75,79.93,3.0,2.0,-1.5,54.0,867.6,0.0,11.4,2.07,9.4,830.6,48.7,0.0,0.0,0.7,807.2,1.69,105.5,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=6, tm_min=51, tm_sec=45, tm_wday=1, tm_yday=3, tm_isdst=-1)",2023-01-03,2023,1,3,3,51,6,BUS02
2023-01-03 06:55:20,40.765877,-111.909821,1264.8,-9999.0,-9999.0,-9999.0,14.06,0.95,-0.71,80.3,3.0,2.0,-1.11,51.0,867.6,0.0,0.3,2.07,10.3,830.5,79.8,0.0,0.0,0.8,807.0,1.67,105.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=6, tm_min=55, tm_sec=20, tm_wday=1, tm_yday=3, tm_isdst=-1)",2023-01-03,2023,1,3,3,55,6,BUS02
2023-01-03 06:57:50,40.765785,-111.909782,1261.5,-9999.0,-9999.0,-9999.0,14.07,1.12,-0.65,80.2,2.0,2.0,-0.89,50.0,867.6,0.0,-2.7,2.07,10.8,830.4,346.7,0.0,0.0,0.9,806.8,1.68,105.3,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=6, tm_min=57, tm_sec=50, tm_wday=1, tm_yday=3, tm_isdst=-1)",2023-01-03,2023,1,3,3,57,6,BUS02
2023-01-03 07:00:20,40.765881,-111.909943,1246.3,-9999.0,-9999.0,-9999.0,14.06,1.3,-0.61,80.2,4.0,2.0,-0.72,48.0,867.4,0.0,3.8,2.07,11.3,830.5,222.7,0.0,0.0,1.1,806.8,1.68,104.8,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=7, tm_min=0, tm_sec=20, tm_wday=1, tm_yday=3, tm_isdst=-1)",2023-01-03,2023,1,3,3,0,7,BUS02
2023-01-03 07:02:50,40.765823,-111.909866,1251.0,-9999.0,-9999.0,-9999.0,14.06,1.48,-0.57,80.3,5.0,2.0,-0.39,46.0,867.6,0.0,-0.5,2.07,11.7,830.4,304.6,0.0,0.0,1.2,806.6,1.68,105.1,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=7, tm_min=2, tm_sec=50, tm_wday=1, tm_yday=3, tm_isdst=-1)",2023-01-03,2023,1,3,3,2,7,BUS02
2023-01-03 07:05:20,40.765884,-111.909904,1248.1,-9999.0,-9999.0,-9999.0,14.07,1.66,-0.55,80.1,3.0,2.0,-0.22,45.0,867.4,0.0,5.5,2.08,12.2,830.5,724.3,0.0,0.0,1.4,806.5,1.68,105.1,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=7, tm_min=5, tm_sec=20, tm_wday=1, tm_yday=3, tm_isdst=-1)",2023-01-03,2023,1,3,3,5,7,BUS02
2023-01-03 07:07:50,40.765736,-111.909714,1251.9,-9999.0,-9999.0,-9999.0,14.03,1.83,-0.55,80.2,3.0,2.0,0.0,43.0,867.4,0.0,0.4,2.09,12.6,830.3,431.3,0.0,0.0,1.5,806.4,1.68,105.1,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=7, tm_min=7, tm_sec=50, tm_wday=1, tm_yday=3, tm_isdst=-1)",2023-01-03,2023,1,3,3,7,7,BUS02
2023-01-03 07:10:20,40.765774,-111.909737,1274.7,-9999.0,-9999.0,-9999.0,14.03,2.0,-0.48,80.4,4.0,2.0,0.22,42.0,867.5,0.0,0.3,2.08,12.9,830.3,522.9,0.0,0.0,1.7,806.3,1.68,105.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=7, tm_min=10, tm_sec=20, tm_wday=1, tm_yday=3, tm_isdst=-1)",2023-01-03,2023,1,3,3,10,7,BUS02
2023-01-03 07:12:50,40.765766,-111.909561,1301.5,-9999.0,-9999.0,-9999.0,14.03,2.17,-0.41,80.4,4.0,2.0,0.39,41.0,867.4,0.0,-1.0,2.08,13.3,830.4,265.1,0.0,0.0,1.9,806.2,1.68,105.2,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=7, tm_min=12, tm_sec=50, tm_wday=1, tm_yday=3, tm_isdst=-1)",2023-01-03,2023,1,3,3,12,7,BUS02
2023-01-03 07:15:20,40.765755,-111.909531,1299.8,-9999.0,-9999.0,-9999.0,14.02,2.34,-0.32,80.5,3.0,2.0,0.72,40.0,867.4,0.0,2.7,2.08,13.6,830.2,246.1,0.0,0.0,2.1,806.1,1.68,105.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=7, tm_min=15, tm_sec=20, tm_wday=1, tm_yday=3, tm_isdst=-1)",2023-01-03,2023,1,3,3,15,7,BUS02
2023-01-03 07:17:50,40.765747,-111.909615,1291.3,-9999.0,-9999.0,-9999.0,14.03,2.5,-0.29,80.3,5.0,2.0,0.89,39.0,867.3,0.0,0.0,2.09,13.9,830.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=7, tm_min=17, tm_sec=50, tm_wday=1, tm_yday=3, tm_isdst=-1)",2023-01-03,2023,1,3,3,17,7,BUS02
2023-01-03 07:20:20,40.765743,-111.909691,1287.8,-9999.0,-9999.0,-9999.0,14.03,2.67,-0.28,79.67,3.0,2.0,1.11,38.0,867.3,0.0,3.0,2.1,14.2,830.1,212.3,0.0,0.0,2.4,806.0,1.68,105.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=7, tm_min=20, tm_sec=20, tm_wday=1, tm_yday=3, tm_isdst=-1)",2023-01-03,2023,1,3,3,20,7,BUS02
