Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,Battery_Voltage_volts,Train_Box_Temperature_degC,Train_Top_Relative_Humidity_%,Train_Top_Temperature_degC,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute
2022-06-01 00:00:02,40.771503,-111.924805,1285.7,13.59,22.5,48.67,14.52,1.0,2.0,13.28,26.0,876.0,0.0,25.6,1.73,39.3,833.9,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=0, tm_sec=2, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,0
2022-06-01 00:01:44,40.771549,-111.934502,1284.8,13.59,22.33,47.46,14.75,2.0,2.0,13.61,26.0,876.0,0.0,18.0,1.74,39.1,834.0,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=1, tm_sec=44, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,1
2022-06-01 00:02:56,40.771523,-111.938744,1283.8,13.59,22.19,47.05,14.86,1.0,2.0,13.5,26.0,876.2,0.0,27.8,1.74,39.0,834.0,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=2, tm_sec=56, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,2
2022-06-01 00:03:56,40.771526,-111.938919,1284.5,13.59,22.08,47.46,14.99,0.0,2.0,13.5,27.0,875.9,0.0,32.2,1.73,38.9,834.1,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=3, tm_sec=56, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,3
2022-06-01 00:05:18,40.771561,-111.946663,1287.3,13.58,21.97,47.02,14.96,2.0,2.0,13.78,27.0,875.8,0.0,22.2,1.73,38.8,833.8,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=5, tm_sec=18, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,5
2022-06-01 00:07:00,40.766201,-111.963486,1291.8,13.58,21.84,43.91,15.13,0.0,2.0,12.61,27.0,875.8,0.0,32.1,1.74,38.6,833.2,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=7, tm_sec=0, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,7
2022-06-01 00:08:00,40.76722,-111.982841,1290.3,13.58,21.75,45.84,14.99,1.0,2.0,12.39,27.0,875.7,0.0,37.2,1.74,38.6,832.7,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=8, tm_sec=0, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,8
2022-06-01 00:09:00,40.776691,-111.980286,1289.5,13.6,21.64,43.68,14.86,0.0,2.0,12.89,26.0,876.2,0.0,49.1,1.74,38.5,833.6,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=9, tm_sec=0, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,9
2022-06-01 00:10:00,40.780346,-111.979919,1288.1,13.61,21.56,44.35,14.96,1.0,2.0,13.78,27.0,876.2,0.0,31.2,1.74,38.4,833.9,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=10, tm_sec=0, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,10
2022-06-01 00:11:00,40.783039,-111.980324,1289.4,13.61,21.48,43.24,15.33,1.0,2.0,14.61,27.0,875.8,0.0,35.8,1.73,38.3,833.8,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=11, tm_sec=0, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,11
2022-06-01 00:12:00,40.784267,-111.983086,1287.7,13.61,21.42,42.73,15.56,1.0,2.0,14.5,27.0,876.1,0.0,52.9,1.73,38.2,834.0,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=12, tm_sec=0, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,12
2022-06-01 00:13:00,40.784267,-111.983101,1287.6,13.62,21.37,42.19,15.87,1.0,2.0,14.39,27.0,876.1,0.0,26.1,1.73,38.1,834.0,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=13, tm_sec=0, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,13
2022-06-01 00:14:00,40.784267,-111.983101,1287.5,13.61,21.31,42.59,15.94,1.0,2.0,14.61,27.0,876.2,0.0,27.0,1.72,38.0,834.0,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=14, tm_sec=0, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,14
2022-06-01 00:15:00,40.784267,-111.983101,1287.5,13.61,21.29,42.59,15.94,0.0,2.0,14.61,28.0,876.1,0.0,28.2,1.73,37.9,834.0,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=15, tm_sec=0, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,15
2022-06-01 00:16:00,40.784267,-111.983101,1287.4,13.61,21.26,42.46,16.11,1.0,2.0,14.72,28.0,876.0,0.0,26.6,1.72,37.9,834.0,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=16, tm_sec=0, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,16
2022-06-01 00:17:00,40.784267,-111.983101,1287.5,13.61,21.21,42.12,16.14,1.0,2.0,14.78,28.0,876.1,0.0,26.5,1.73,37.8,834.0,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=17, tm_sec=0, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,17
2022-06-01 00:18:00,40.784267,-111.983101,1287.5,13.6,21.21,41.78,16.21,1.0,2.0,14.28,28.0,876.2,0.0,30.2,1.72,37.7,834.0,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=18, tm_sec=0, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,18
2022-06-01 00:19:00,40.784267,-111.983101,1287.4,13.61,21.18,42.39,16.07,1.0,2.0,13.89,28.0,876.4,0.0,28.3,1.73,37.7,834.0,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=19, tm_sec=0, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,19
2022-06-01 00:20:00,40.784267,-111.983101,1287.5,13.61,21.15,42.76,15.8,0.0,2.0,14.0,28.0,876.0,0.0,31.5,1.73,37.6,834.0,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=20, tm_sec=0, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,20
2022-06-01 00:21:00,40.784267,-111.983101,1287.5,13.61,21.15,43.1,15.6,1.0,2.0,13.89,28.0,876.3,0.0,34.0,1.72,37.5,834.0,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=21, tm_sec=0, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,21
2022-06-01 00:22:00,40.784267,-111.983101,1287.5,13.62,21.12,43.51,15.7,1.0,2.0,13.78,28.0,876.1,0.0,31.0,1.73,37.5,834.0,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=22, tm_sec=0, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,22
2022-06-01 00:23:00,40.784267,-111.983101,1287.5,13.62,21.1,43.27,15.53,1.0,2.0,13.78,28.0,876.2,0.0,30.2,1.72,37.4,834.0,0,0,"time.struct_time(tm_year=2022, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=23, tm_sec=0, tm_wday=2, tm_yday=152, tm_isdst=-1)",2022-06-01,2022,6,152,1,23
