Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES405_PM1_Concentration_ug/m3,ES405_PM2.5_Concentration_ug/m3,ES405_PM4_Concentration_ug/m3,ES405_PM10_Concentration_ug/m3,ES405_Air_Flow_Rate_L/min,ES405_Internal_Air_Temperature_degC,ES405_Internal_Relative_Humidity_%,ES405_Internal_Air_Pressure_hpa,ES405_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute
2023-07-17 19:51:00,40.763065,-111.910194,1297.4,0.0,75.0,1.0,13.35,26.19,25.31,39.95,1.3,2.4,4.3,7.6,1.0,26.39,29.4,654.1,0.0,18.8,1.88,29.7,836.9,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=17, tm_hour=19, tm_min=51, tm_sec=0, tm_wday=0, tm_yday=198, tm_isdst=-1)",2023-07-17,2023,7,198,17,51
2023-07-17 20:21:00,40.762802,-111.910049,1281.6,0.0,95.3,1.0,13.29,26.99,25.09,40.39,1.3,2.4,3.8,6.3,1.0,28.72,29.8,654.0,0.0,2.5,1.96,35.2,836.7,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=17, tm_hour=20, tm_min=21, tm_sec=0, tm_wday=0, tm_yday=198, tm_isdst=-1)",2023-07-17,2023,7,198,17,21
2023-07-17 20:51:00,40.763062,-111.91024,1271.6,0.0,95.7,1.0,13.34,27.41,25.16,40.71,1.2,1.9,3.1,4.9,1.0,29.89,27.4,653.7,0.0,4.2,1.97,36.6,836.1,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=17, tm_hour=20, tm_min=51, tm_sec=0, tm_wday=0, tm_yday=198, tm_isdst=-1)",2023-07-17,2023,7,198,17,51
2023-07-18 14:42:00,40.763016,-111.910233,1284.6,0.0,124.5,1.0,13.31,26.93,26.1,42.72,2.4,3.9,5.5,7.1,1.0,28.78,27.9,654.9,0.0,4.6,1.95,34.6,837.5,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=18, tm_hour=14, tm_min=42, tm_sec=0, tm_wday=1, tm_yday=199, tm_isdst=-1)",2023-07-18,2023,7,199,18,42
2023-07-18 15:12:00,40.763023,-111.910088,1293.3,0.0,148.2,1.0,13.3,27.77,25.97,45.3,2.1,3.0,4.3,6.1,1.0,30.39,28.8,655.2,0.0,5.4,1.97,36.8,837.7,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=12, tm_sec=0, tm_wday=1, tm_yday=199, tm_isdst=-1)",2023-07-18,2023,7,199,18,12
2023-07-18 15:42:00,40.763,-111.910248,1290.4,0.0,284.7,1.0,13.3,28.16,25.79,45.75,2.0,2.7,3.7,4.8,1.0,31.39,27.6,655.2,0.0,13.1,1.96,37.5,837.7,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=42, tm_sec=0, tm_wday=1, tm_yday=199, tm_isdst=-1)",2023-07-18,2023,7,199,18,42
2023-07-18 16:12:00,40.762787,-111.910309,1263.7,0.0,149.7,1.0,13.3,28.48,27.08,37.3,2.5,4.2,6.6,14.0,1.0,31.5,26.6,655.4,0.0,6.7,2.0,37.9,837.9,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=18, tm_hour=16, tm_min=12, tm_sec=0, tm_wday=1, tm_yday=199, tm_isdst=-1)",2023-07-18,2023,7,199,18,12
2023-07-18 16:42:00,40.762943,-111.910187,1280.1,0.0,151.2,1.0,13.23,28.62,25.93,43.77,2.3,3.4,5.0,7.0,1.0,31.78,29.4,655.7,0.0,14.8,1.99,38.1,838.2,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=18, tm_hour=16, tm_min=42, tm_sec=0, tm_wday=1, tm_yday=199, tm_isdst=-1)",2023-07-18,2023,7,199,18,42
2023-07-18 22:35:00,40.761551,-111.91053,1279.3,0.0,358.0,1.0,13.11,34.9,35.49,15.63,2.0,3.2,5.4,10.3,1.0,34.78,21.0,654.3,0.0,51.9,1.98,41.4,836.0,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=18, tm_hour=22, tm_min=35, tm_sec=0, tm_wday=1, tm_yday=199, tm_isdst=-1)",2023-07-18,2023,7,199,18,35
2023-07-18 23:05:00,40.761467,-111.910606,1256.3,0.0,358.0,1.0,13.08,36.08,36.13,14.7,2.2,5.9,13.9,31.0,1.0,36.78,19.2,654.4,0.0,28.9,2.03,44.5,835.9,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=18, tm_hour=23, tm_min=5, tm_sec=0, tm_wday=1, tm_yday=199, tm_isdst=-1)",2023-07-18,2023,7,199,18,5
