Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,2B405_NO_Concentration_ppbv,2B405_NO2_Concentration_ppbv,2B405_NOX_Concentration_ppbv,2B405_Internal_Air_Temperature_degC,2B405_Internal_Air_Pressure_hpa,2B405_Air_Flow_Rate_L/min,2B405_Cell_O3_Flow_Rate_mL/min,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID
2022-04-01 00:00:00,40.765656,-111.909821,1270.1,-9999.0,-9999.0,-9999.0,13.78,19.36,11.39,31.17,1.0,2.0,17.28,16.0,867.7,0.0,44.2,2.18,33.2,808.0,-0.6,9.9,9.3,23.4,808.8,1.78,118.4,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=4, tm_mday=1, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=91, tm_isdst=-1)",2022-04-01,2022,4,91,1,0,0,BUS02
2022-04-01 00:02:30,40.765648,-111.909828,1270.6,-9999.0,-9999.0,-9999.0,13.78,19.35,11.45,30.09,2.0,2.0,17.28,16.0,867.7,0.0,31.4,2.2,33.2,808.3,-1.1,8.1,7.0,23.4,808.7,1.78,119.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=4, tm_mday=1, tm_hour=0, tm_min=2, tm_sec=30, tm_wday=4, tm_yday=91, tm_isdst=-1)",2022-04-01,2022,4,91,1,2,0,BUS02
2022-04-01 00:05:00,40.765636,-111.909821,1270.0,-9999.0,-9999.0,-9999.0,13.78,19.34,11.31,32.02,1.0,2.0,17.28,16.0,867.7,0.0,43.0,2.19,33.2,807.9,4.3,14.5,18.8,23.5,808.8,1.78,118.8,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=4, tm_mday=1, tm_hour=0, tm_min=5, tm_sec=0, tm_wday=4, tm_yday=91, tm_isdst=-1)",2022-04-01,2022,4,91,1,5,0,BUS02
2022-04-01 00:07:30,40.765644,-111.909821,1270.0,-9999.0,-9999.0,-9999.0,13.78,19.33,11.25,31.76,1.0,2.0,17.22,16.0,867.5,0.0,39.9,2.19,33.2,808.2,5.3,11.6,16.9,23.5,808.8,1.78,118.7,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=4, tm_mday=1, tm_hour=0, tm_min=7, tm_sec=30, tm_wday=4, tm_yday=91, tm_isdst=-1)",2022-04-01,2022,4,91,1,7,0,BUS02
2022-04-01 00:10:00,40.765663,-111.909805,1270.1,-9999.0,-9999.0,-9999.0,13.78,19.32,11.29,31.17,1.0,2.0,17.22,16.0,867.6,0.0,42.6,2.19,33.2,808.0,2.9,11.5,14.4,23.5,808.8,1.78,118.6,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=4, tm_mday=1, tm_hour=0, tm_min=10, tm_sec=0, tm_wday=4, tm_yday=91, tm_isdst=-1)",2022-04-01,2022,4,91,1,10,0,BUS02
2022-04-01 00:12:30,40.765671,-111.909798,1269.2,-9999.0,-9999.0,-9999.0,13.78,19.3,11.17,30.91,1.0,2.0,17.22,16.0,867.7,0.0,43.3,2.2,33.2,808.3,-0.1,7.0,6.9,23.5,808.9,1.79,118.7,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=4, tm_mday=1, tm_hour=0, tm_min=12, tm_sec=30, tm_wday=4, tm_yday=91, tm_isdst=-1)",2022-04-01,2022,4,91,1,12,0,BUS02
2022-04-01 00:15:00,40.76569,-111.909782,1269.8,-9999.0,-9999.0,-9999.0,13.78,19.28,11.13,31.31,2.0,2.0,17.11,16.0,867.8,0.0,45.1,2.2,33.2,808.0,4.1,8.5,12.7,23.5,808.8,1.78,118.8,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=4, tm_mday=1, tm_hour=0, tm_min=15, tm_sec=0, tm_wday=4, tm_yday=91, tm_isdst=-1)",2022-04-01,2022,4,91,1,15,0,BUS02
2022-04-01 00:17:30,40.765694,-111.909782,1270.6,-9999.0,-9999.0,-9999.0,13.78,19.26,11.23,31.28,1.0,2.0,17.11,16.0,867.8,0.0,39.8,2.19,33.2,808.3,-1.0,5.1,4.1,23.5,808.9,1.78,118.7,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=4, tm_mday=1, tm_hour=0, tm_min=17, tm_sec=30, tm_wday=4, tm_yday=91, tm_isdst=-1)",2022-04-01,2022,4,91,1,17,0,BUS02
2022-04-01 00:20:00,40.765694,-111.909767,1270.2,-9999.0,-9999.0,-9999.0,13.78,19.24,11.14,32.44,1.0,2.0,17.0,16.0,867.6,0.0,36.2,2.19,33.2,808.0,-2.1,9.1,6.9,23.6,808.9,1.78,118.8,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=4, tm_mday=1, tm_hour=0, tm_min=20, tm_sec=0, tm_wday=4, tm_yday=91, tm_isdst=-1)",2022-04-01,2022,4,91,1,20,0,BUS02
2022-04-01 00:22:30,40.765694,-111.909767,1270.3,-9999.0,-9999.0,-9999.0,13.78,19.22,11.17,30.92,1.0,2.0,17.0,16.0,867.6,0.0,37.7,2.2,33.2,808.4,1.2,9.8,11.0,23.6,808.8,1.78,118.9,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=4, tm_mday=1, tm_hour=0, tm_min=22, tm_sec=30, tm_wday=4, tm_yday=91, tm_isdst=-1)",2022-04-01,2022,4,91,1,22,0,BUS02
