Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,2B405_NO_Concentration_ppbv,2B405_NO2_Concentration_ppbv,2B405_NOX_Concentration_ppbv,2B405_Internal_Air_Temperature_degC,2B405_Internal_Air_Pressure_hpa,2B405_Air_Flow_Rate_L/min,2B405_Cell_O3_Flow_Rate_mL/min,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute
2023-01-20 18:49:05,40.766006,-111.909973,1314.8,-9999.0,-9999.0,-9999.0,13.66,22.9,28.0,7.74,9.0,2.0,25.0,17.0,877.9,0.0,8.6,2.33,30.4,687.9,16.6,27.4,44.0,18.4,817.9,1.87,110.8,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=20, tm_hour=18, tm_min=49, tm_sec=5, tm_wday=4, tm_yday=20, tm_isdst=-1)",2023-01-20,2023,1,20,20,49
2023-01-20 18:51:35,40.766258,-111.909721,1340.8,-9999.0,-9999.0,-9999.0,13.66,23.06,22.2,11.88,26.0,2.0,24.61,16.0,877.7,0.0,15.6,2.35,31.1,687.3,25.6,23.4,48.9,18.7,818.0,1.87,110.6,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=20, tm_hour=18, tm_min=51, tm_sec=35, tm_wday=4, tm_yday=20, tm_isdst=-1)",2023-01-20,2023,1,20,20,51
2023-01-20 18:54:05,40.766098,-111.910019,1450.0,-9999.0,-9999.0,-9999.0,13.7,22.98,16.86,17.9,3.0,2.0,24.0,15.0,877.8,0.0,15.3,2.35,31.8,687.7,6.0,6.9,12.9,18.9,817.8,1.87,110.7,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=20, tm_hour=18, tm_min=54, tm_sec=5, tm_wday=4, tm_yday=20, tm_isdst=-1)",2023-01-20,2023,1,20,20,54
2023-01-20 18:56:35,40.76606,-111.909889,1404.6,-9999.0,-9999.0,-9999.0,13.7,22.76,14.57,19.34,2.0,2.0,23.28,14.0,877.5,0.0,21.4,2.37,32.3,688.0,5.6,8.6,14.1,19.2,817.8,1.88,110.8,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=20, tm_hour=18, tm_min=56, tm_sec=35, tm_wday=4, tm_yday=20, tm_isdst=-1)",2023-01-20,2023,1,20,20,56
2023-01-20 19:00:15,40.766254,-111.909782,1380.6,-9999.0,-9999.0,-9999.0,13.74,22.24,13.44,19.42,3.0,2.0,22.22,14.0,877.5,0.0,20.7,2.36,32.9,688.3,5.7,7.3,13.0,19.5,817.7,1.85,111.0,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=20, tm_hour=19, tm_min=0, tm_sec=15, tm_wday=4, tm_yday=20, tm_isdst=-1)",2023-01-20,2023,1,20,20,0
2023-01-20 19:02:45,40.766201,-111.909782,1375.5,-9999.0,-9999.0,-9999.0,13.73,21.81,12.76,20.18,3.0,2.0,21.61,13.0,877.7,0.0,23.0,2.38,33.2,688.5,3.2,3.6,6.9,19.7,817.7,1.85,111.0,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=20, tm_hour=19, tm_min=2, tm_sec=45, tm_wday=4, tm_yday=20, tm_isdst=-1)",2023-01-20,2023,1,20,20,2
2023-01-20 19:05:15,40.766159,-111.909737,1373.2,-9999.0,-9999.0,-9999.0,13.76,21.37,12.19,21.0,3.0,2.0,20.89,13.0,877.5,0.0,16.0,2.37,33.5,688.7,6.4,5.8,12.2,19.9,817.7,1.86,111.0,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=20, tm_hour=19, tm_min=5, tm_sec=15, tm_wday=4, tm_yday=20, tm_isdst=-1)",2023-01-20,2023,1,20,20,5
2023-01-20 19:07:45,40.76601,-111.90976,1371.9,-9999.0,-9999.0,-9999.0,13.76,20.94,10.58,22.41,3.0,2.0,20.5,13.0,877.7,0.0,20.5,2.37,33.7,688.9,41.8,16.6,58.4,20.1,817.7,1.86,111.4,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=20, tm_hour=19, tm_min=7, tm_sec=45, tm_wday=4, tm_yday=20, tm_isdst=-1)",2023-01-20,2023,1,20,20,7
2023-01-20 19:10:15,40.766041,-111.909782,1360.8,-9999.0,-9999.0,-9999.0,13.76,20.54,10.19,22.12,2.0,2.0,20.0,12.0,877.5,0.0,22.9,2.36,33.8,689.0,4.3,6.6,10.9,20.3,817.7,1.86,111.2,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=20, tm_hour=19, tm_min=10, tm_sec=15, tm_wday=4, tm_yday=20, tm_isdst=-1)",2023-01-20,2023,1,20,20,10
2023-01-20 19:12:45,40.766117,-111.909798,1360.1,-9999.0,-9999.0,-9999.0,13.76,20.15,10.01,23.59,6.0,2.0,19.61,12.0,877.6,0.0,23.6,2.38,33.8,689.0,10.0,10.6,20.6,20.4,817.6,1.86,111.4,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=20, tm_hour=19, tm_min=12, tm_sec=45, tm_wday=4, tm_yday=20, tm_isdst=-1)",2023-01-20,2023,1,20,20,12
