Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,Battery_Voltage_volts,Train_Box_Temperature_degC,Train_Top_Relative_Humidity_%,Train_Top_Temperature_degC,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID,AQI,PM2.5_Category,Meso_West_Category
2022-08-31 23:12:02,40.605404,-111.934479,1330.3,13.03,45.03,8.27,40.08,0.0,2.0,40.11,6.0,870.1,0.0,73.1,2.42,56.7,833.6,0,1,"time.struct_time(tm_year=2022, tm_mon=8, tm_mday=31, tm_hour=23, tm_min=12, tm_sec=2, tm_wday=2, tm_yday=243, tm_isdst=-1)",2022-08-31,2022,8,243,31,12,23,TRX01,Good,< 12.00,< 2.00
2022-08-31 23:14:02,40.611362,-111.921631,1315.2,13.03,45.03,8.23,41.03,2.0,2.0,40.22,6.0,871.8,0.0,76.0,2.42,56.7,835.3,0,1,"time.struct_time(tm_year=2022, tm_mon=8, tm_mday=31, tm_hour=23, tm_min=14, tm_sec=2, tm_wday=2, tm_yday=243, tm_isdst=-1)",2022-08-31,2022,8,243,31,14,23,TRX01,Good,< 12.00,2.00 - 4.00
2022-08-31 23:16:02,40.617378,-111.910789,1331.0,13.03,45.03,8.13,40.35,2.0,2.0,39.11,6.0,870.5,0.0,90.2,2.43,56.8,834.0,0,1,"time.struct_time(tm_year=2022, tm_mon=8, tm_mday=31, tm_hour=23, tm_min=16, tm_sec=2, tm_wday=2, tm_yday=243, tm_isdst=-1)",2022-08-31,2022,8,243,31,16,23,TRX01,Good,< 12.00,2.00 - 4.00
2022-08-31 23:18:02,40.630875,-111.904099,1327.5,13.03,45.03,7.76,39.67,1.0,2.0,39.28,6.0,871.2,0.0,65.7,2.44,56.8,834.7,0,1,"time.struct_time(tm_year=2022, tm_mon=8, tm_mday=31, tm_hour=23, tm_min=18, tm_sec=2, tm_wday=2, tm_yday=243, tm_isdst=-1)",2022-08-31,2022,8,243,31,18,23,TRX01,Good,< 12.00,< 2.00
2022-08-31 23:20:02,40.633808,-111.898323,1327.3,13.02,45.03,8.84,39.03,2.0,2.0,40.11,6.0,870.8,0.0,63.8,2.44,56.9,834.4,0,1,"time.struct_time(tm_year=2022, tm_mon=8, tm_mday=31, tm_hour=23, tm_min=20, tm_sec=2, tm_wday=2, tm_yday=243, tm_isdst=-1)",2022-08-31,2022,8,243,31,20,23,TRX01,Good,< 12.00,2.00 - 4.00
2022-08-31 23:22:02,40.65192,-111.898125,1322.7,13.03,45.03,8.4,38.32,2.0,2.0,37.89,6.0,871.1,0.0,64.3,2.43,56.9,834.3,0,1,"time.struct_time(tm_year=2022, tm_mon=8, tm_mday=31, tm_hour=23, tm_min=22, tm_sec=2, tm_wday=2, tm_yday=243, tm_isdst=-1)",2022-08-31,2022,8,243,31,22,23,TRX01,Good,< 12.00,2.00 - 4.00
2022-08-31 23:24:02,40.662216,-111.894302,1318.2,13.0,44.97,7.49,38.56,3.0,2.0,38.89,6.0,872.0,0.0,68.1,2.44,56.9,835.5,0,1,"time.struct_time(tm_year=2022, tm_mon=8, tm_mday=31, tm_hour=23, tm_min=24, tm_sec=2, tm_wday=2, tm_yday=243, tm_isdst=-1)",2022-08-31,2022,8,243,31,24,23,TRX01,Good,< 12.00,2.00 - 4.00
2022-08-31 23:26:02,40.677563,-111.894028,1311.5,12.99,44.92,7.72,38.83,1.0,2.0,39.61,5.0,872.5,0.0,44.6,2.42,56.9,835.9,0,1,"time.struct_time(tm_year=2022, tm_mon=8, tm_mday=31, tm_hour=23, tm_min=26, tm_sec=2, tm_wday=2, tm_yday=243, tm_isdst=-1)",2022-08-31,2022,8,243,31,26,23,TRX01,Good,< 12.00,< 2.00
2022-08-31 23:28:02,40.690971,-111.896935,1303.9,13.0,44.87,8.06,38.83,2.0,2.0,39.39,6.0,873.0,0.0,63.3,2.43,56.9,836.2,0,1,"time.struct_time(tm_year=2022, tm_mon=8, tm_mday=31, tm_hour=23, tm_min=28, tm_sec=2, tm_wday=2, tm_yday=243, tm_isdst=-1)",2022-08-31,2022,8,243,31,28,23,TRX01,Good,< 12.00,2.00 - 4.00
2022-08-31 23:30:02,40.706306,-111.896896,1306.0,13.0,44.76,8.03,39.51,2.0,2.0,39.22,5.0,873.4,0.0,83.6,2.45,56.8,836.7,0,1,"time.struct_time(tm_year=2022, tm_mon=8, tm_mday=31, tm_hour=23, tm_min=30, tm_sec=2, tm_wday=2, tm_yday=243, tm_isdst=-1)",2022-08-31,2022,8,243,31,30,23,TRX01,Good,< 12.00,2.00 - 4.00
