Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES405_PM1_Concentration_ug/m3,ES405_PM2.5_Concentration_ug/m3,ES405_PM4_Concentration_ug/m3,ES405_PM10_Concentration_ug/m3,ES405_Air_Flow_Rate_L/min,ES405_Internal_Air_Temperature_degC,ES405_Internal_Relative_Humidity_%,ES405_Internal_Air_Pressure_hpa,ES405_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID,AQI,PM2.5_Category,Meso_West_Category
2023-09-14 19:28:00,40.762058,-111.910683,1189.2,0.0,356.2,1.0,13.42,23.08,23.88,30.56,1.4,1.8,2.6,3.7,1.0,23.39,25.3,656.6,0.0,42.5,1.83,28.1,848.4,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=14, tm_hour=19, tm_min=28, tm_sec=0, tm_wday=3, tm_yday=257, tm_isdst=-1)",2023-09-14,2023,9,257,14,28,19,BUS06,Good,< 12.00,< 2.00
2023-09-14 19:58:00,40.761547,-111.910629,1269.5,0.0,275.1,1.0,13.31,25.04,25.27,28.46,1.5,2.0,2.9,4.4,1.0,25.22,27.2,656.3,0.0,45.3,1.89,34.9,847.9,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=14, tm_hour=19, tm_min=58, tm_sec=0, tm_wday=3, tm_yday=257, tm_isdst=-1)",2023-09-14,2023,9,257,14,58,19,BUS06,Good,< 12.00,2.00 - 4.00
2023-09-14 20:28:00,40.761841,-111.910606,1298.0,0.57,23.4,1.0,13.28,26.56,26.87,22.29,1.3,1.7,2.7,4.8,1.0,26.89,22.2,656.1,0.0,43.3,1.9,37.4,847.4,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=14, tm_hour=20, tm_min=28, tm_sec=0, tm_wday=3, tm_yday=257, tm_isdst=-1)",2023-09-14,2023,9,257,14,28,20,BUS06,Good,< 12.00,< 2.00
2023-09-14 20:58:00,40.76141,-111.910736,1269.9,0.0,228.8,1.0,13.22,27.62,26.93,20.29,1.0,1.4,1.9,3.0,1.0,28.39,18.3,655.9,0.0,45.2,1.91,38.9,847.0,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=14, tm_hour=20, tm_min=58, tm_sec=0, tm_wday=3, tm_yday=257, tm_isdst=-1)",2023-09-14,2023,9,257,14,58,20,BUS06,Good,< 12.00,< 2.00
2023-09-14 23:05:00,40.761639,-111.910591,1277.8,0.0,0.0,1.0,13.3,27.3,26.0,24.18,1.4,1.8,2.9,5.3,1.0,27.72,21.5,655.4,0.0,49.3,1.87,31.8,846.4,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=14, tm_hour=23, tm_min=5, tm_sec=0, tm_wday=3, tm_yday=257, tm_isdst=-1)",2023-09-14,2023,9,257,14,5,23,BUS06,Good,< 12.00,< 2.00
2023-09-15 00:24:00,40.761547,-111.910713,1273.4,0.0,176.4,1.0,13.24,27.37,27.52,23.2,1.4,2.0,3.2,6.5,1.0,28.11,21.8,655.3,0.0,42.0,1.89,35.5,845.9,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=0, tm_min=24, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,24,0,BUS06,Good,< 12.00,2.00 - 4.00
2023-09-15 09:51:00,40.761467,-111.910583,1274.2,0.0,286.7,1.0,13.43,19.85,18.5,41.85,2.4,3.7,5.9,9.0,1.0,20.89,30.0,656.9,0.0,-0.3,1.85,29.1,848.4,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=9, tm_min=51, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,51,9,BUS06,Good,< 12.00,2.00 - 4.00
2023-09-15 10:21:00,40.761517,-111.910545,1264.1,0.0,286.7,1.0,13.45,20.26,18.42,38.7,1.8,2.8,4.8,7.8,1.0,21.78,27.9,657.0,0.0,17.1,1.85,31.2,848.4,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=10, tm_min=21, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,21,10,BUS06,Good,< 12.00,2.00 - 4.00
2023-09-15 10:51:00,40.769249,-111.891785,1323.6,7.05,91.7,1.0,13.48,19.88,17.09,40.12,1.3,2.0,3.8,5.6,1.0,22.39,25.3,655.6,0.0,34.2,1.87,31.5,845.7,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=10, tm_min=51, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,51,10,BUS06,Good,< 12.00,2.00 - 4.00
2023-09-15 11:21:00,40.767235,-111.887054,1325.0,9.77,270.0,1.0,13.55,18.99,16.87,40.31,1.6,2.5,4.2,6.5,1.0,21.61,29.4,654.9,0.0,26.8,1.87,30.8,846.2,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=11, tm_min=21, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,21,11,BUS06,Good,< 12.00,2.00 - 4.00
2023-09-15 11:51:00,40.769241,-111.888535,1323.5,1.39,96.4,1.0,13.54,18.53,16.87,38.76,2.1,3.3,5.4,13.2,1.0,21.28,29.0,655.4,0.0,38.0,1.87,30.3,845.3,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=11, tm_min=51, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,51,11,BUS06,Good,< 12.00,2.00 - 4.00
2023-09-15 12:21:00,40.767235,-111.886406,1298.6,5.5,270.4,1.0,13.55,18.3,15.99,45.74,1.2,1.7,2.6,5.1,1.0,21.11,24.7,655.1,0.0,25.7,1.85,30.0,846.7,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=12, tm_min=21, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,21,12,BUS06,Good,< 12.00,< 2.00
2023-09-15 12:51:00,40.767345,-111.888161,1315.5,7.67,182.0,1.0,13.55,17.58,15.68,52.14,2.3,4.0,7.1,13.1,1.0,21.39,25.9,655.4,0.0,6.8,1.85,29.4,846.6,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=12, tm_min=51, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,51,12,BUS06,Good,< 12.00,4.00 - 6.00
2023-09-15 13:21:00,40.767208,-111.885979,1316.5,0.0,276.9,1.0,13.55,17.35,14.87,48.04,1.6,2.7,4.6,5.8,1.0,20.61,26.3,655.4,0.0,25.1,1.84,29.1,847.2,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=13, tm_min=21, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,21,13,BUS06,Good,< 12.00,2.00 - 4.00
2023-09-15 13:51:00,40.767113,-111.887871,1330.8,3.19,100.5,1.0,13.54,17.04,15.91,44.94,1.6,3.1,7.0,19.8,1.0,20.78,25.4,655.5,0.0,18.6,1.86,28.8,847.3,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=13, tm_min=51, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,51,13,BUS06,Good,< 12.00,2.00 - 4.00
2023-09-15 14:21:00,40.765041,-111.864006,1354.4,9.36,269.1,1.0,13.56,17.35,17.28,42.88,1.0,1.5,2.5,5.1,1.0,20.28,27.5,651.2,0.0,29.5,1.87,29.0,844.0,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=14, tm_min=21, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,21,14,BUS06,Good,< 12.00,< 2.00
2023-09-15 14:51:00,40.763687,-111.909492,1297.5,0.0,174.5,1.0,13.51,18.19,18.89,41.44,2.9,4.9,8.8,19.4,1.0,21.11,27.9,658.2,0.0,15.6,1.86,29.7,849.9,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=14, tm_min=51, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,51,14,BUS06,Good,< 12.00,4.00 - 6.00
2023-09-15 15:21:00,40.765038,-111.852684,1409.8,5.3,91.4,1.0,13.49,19.33,19.53,37.03,0.9,1.3,2.3,5.1,1.0,21.72,26.1,651.3,0.0,31.9,1.88,30.9,838.2,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=15, tm_min=21, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,21,15,BUS06,Good,< 12.00,< 2.00
2023-09-15 15:51:00,40.765038,-111.906929,1305.2,8.23,274.2,1.0,13.45,20.62,20.24,38.41,3.6,5.8,8.6,14.4,1.0,22.39,26.2,658.0,0.0,5.1,1.88,32.1,849.7,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=15, tm_min=51, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,51,15,BUS06,Good,< 12.00,4.00 - 6.00
2023-09-15 16:21:00,40.768005,-111.888145,1319.2,0.0,179.8,1.0,13.36,22.94,21.65,36.05,2.3,4.2,8.3,18.7,1.0,23.72,25.0,655.9,0.0,26.9,1.89,34.3,847.3,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=16, tm_min=21, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,21,16,BUS06,Good,< 12.00,4.00 - 6.00
2023-09-15 16:51:00,40.765026,-111.86142,1359.7,8.59,269.6,1.0,13.36,23.75,22.43,30.89,0.9,1.3,2.0,3.8,1.0,24.78,24.4,651.5,0.0,39.1,1.91,35.3,843.3,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=16, tm_min=51, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,51,16,BUS06,Good,< 12.00,< 2.00
2023-09-15 17:21:00,40.764397,-111.909851,1298.3,0.0,158.2,1.0,13.31,25.26,26.41,24.66,1.6,2.8,5.6,9.5,1.0,26.0,24.9,658.4,0.0,38.3,1.89,36.6,849.8,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=17, tm_min=21, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,21,17,BUS06,Good,< 12.00,2.00 - 4.00
2023-09-15 17:51:00,40.764996,-111.865471,1331.4,8.54,93.2,1.0,13.25,26.75,24.21,29.98,1.8,3.1,6.4,14.6,1.0,27.61,23.0,655.2,0.0,41.4,1.93,38.2,844.4,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=17, tm_min=51, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,51,17,BUS06,Good,< 12.00,2.00 - 4.00
2023-09-15 18:21:00,40.769123,-111.894035,1335.9,0.0,3.1,1.0,13.25,27.06,24.72,26.92,1.7,2.8,5.3,11.6,1.0,28.39,21.6,656.4,0.0,47.4,1.93,38.5,847.0,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=18, tm_min=21, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,21,18,BUS06,Good,< 12.00,2.00 - 4.00
2023-09-15 18:51:00,40.769238,-111.891068,1305.5,7.2,102.1,1.0,13.19,28.38,25.5,26.87,1.9,3.1,5.2,11.8,1.0,29.39,20.2,656.5,0.0,51.9,1.93,39.6,846.1,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=18, tm_min=51, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,51,18,BUS06,Good,< 12.00,2.00 - 4.00
2023-09-15 19:21:00,40.765076,-111.859337,1384.8,2.47,271.1,1.0,13.19,28.7,25.79,28.97,1.7,2.9,5.6,14.5,1.0,30.39,20.6,649.1,0.0,58.1,1.94,40.1,841.6,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=19, tm_min=21, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,21,19,BUS06,Good,< 12.00,2.00 - 4.00
2023-09-15 19:51:00,40.764702,-111.909615,1287.0,0.0,344.4,1.0,13.16,29.62,27.68,21.08,1.2,1.8,3.1,4.5,1.0,31.11,17.8,657.8,0.0,60.9,1.94,40.9,848.7,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=19, tm_min=51, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,51,19,BUS06,Good,< 12.00,< 2.00
2023-09-15 20:21:00,40.767136,-111.871445,1332.5,0.0,98.1,1.0,13.13,30.34,26.95,20.95,1.2,1.8,3.4,8.0,1.0,32.11,15.3,654.6,0.0,61.7,1.96,41.8,843.7,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=20, tm_min=21, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=-1)",2023-09-15,2023,9,258,15,21,20,BUS06,Good,< 12.00,< 2.00
