,Timestamp,Year,Month,Longitude,Latitude,ES642_PM2.5_Concentration,2B_Ozone_Concentration,2B405_NO_Concentration,2B405_NO2_Concentration,2B405_NOX_Concentration,2B405_Cell_O3_Flow_Rate,PM2.5_Concentration
0,2023-07-12T20:35:30,2023,7,-111.920723,40.766575,,26.00,none,None,None,None,-9999.00
1,2023-07-17T19:46:05,2023,7,-111.910294,40.763359,,-9999.00,none,None,None,None,-9999.00
2,2023-07-17T19:48:40,2023,7,-111.910217,40.763313,,-9999.00,none,None,None,None,-9999.00
3,2023-07-17T19:51:15,2023,7,-111.910164,40.762981,,24.30,none,None,None,None,-9999.00
4,2023-07-17T19:53:50,2023,7,-111.910339,40.763191,,23.70,none,None,None,None,-9999.00
5,2023-07-17T19:56:25,2023,7,-111.910301,40.763218,,20.20,none,None,None,None,-9999.00
6,2023-07-17T19:59:00,2023,7,-111.91024,40.762993,,20.20,none,None,None,None,2.50
7,2023-07-17T20:01:35,2023,7,-111.91021,40.763237,,19.00,none,None,None,None,-9999.00
8,2023-07-17T20:04:10,2023,7,-111.91021,40.762962,,19.10,none,None,None,None,-9999.00
9,2023-07-17T20:06:45,2023,7,-111.910179,40.762756,,15.50,none,None,None,None,-9999.00
10,2023-07-17T20:09:20,2023,7,-111.910217,40.763119,,9.60,none,None,None,None,-9999.00
11,2023-07-17T20:11:55,2023,7,-111.910248,40.763111,,3.40,none,None,None,None,-9999.00
12,2023-07-17T20:14:30,2023,7,-111.910164,40.76297,,2.40,none,None,None,None,-9999.00
13,2023-07-17T20:17:05,2023,7,-111.910255,40.763073,,2.50,none,None,None,None,-9999.00
14,2023-07-17T20:19:40,2023,7,-111.910149,40.763027,,-0.90,none,None,None,None,-9999.00
15,2023-07-17T20:22:15,2023,7,-111.910065,40.762882,,-1.30,none,None,None,None,-9999.00
16,2023-07-17T20:24:50,2023,7,-111.910179,40.763023,,-2.10,none,None,None,None,-9999.00
17,2023-07-17T20:27:25,2023,7,-111.910027,40.762951,,1.60,none,None,None,None,-9999.00
18,2023-07-17T20:30:00,2023,7,-111.910141,40.762981,,0.70,none,None,None,None,2.20
19,2023-07-17T20:32:35,2023,7,-111.910278,40.762974,,2.50,none,None,None,None,-9999.00
20,2023-07-17T20:35:10,2023,7,-111.910248,40.763008,,2.20,none,None,None,None,-9999.00
21,2023-07-17T20:37:45,2023,7,-111.910294,40.763107,,4.30,none,None,None,None,-9999.00
22,2023-07-17T20:40:20,2023,7,-111.910278,40.763031,,1.20,none,None,None,None,-9999.00
23,2023-07-17T20:42:55,2023,7,-111.910179,40.763008,,3.40,none,None,None,None,-9999.00
24,2023-07-17T20:45:30,2023,7,-111.910187,40.763062,,1.60,none,None,None,None,-9999.00
25,2023-07-17T20:48:05,2023,7,-111.91037,40.763054,,4.80,none,None,None,None,-9999.00
26,2023-07-17T20:50:40,2023,7,-111.910225,40.763088,,0.50,none,None,None,None,-9999.00
